id,sales
0,22
1,39
2,33
3,29
4,21
5,23
6,11
7,34
8,40
9,30
10,22
11,39
12,33
13,29
14,21
15,23
16,11
17,34
18,40
19,30
20,22
21,39
22,33
23,29
24,21
25,23
26,11
27,34
28,40
29,30
30,22
31,39
32,33
33,29
34,21
35,23
36,11
37,34
38,40
39,30
40,22
41,39
42,33
43,29
44,21
45,23
46,11
47,34
48,40
49,30
50,22
51,39
52,33
53,29
54,21
55,23
56,11
57,34
58,40
59,30
60,22
61,39
62,33
63,29
64,21
65,23
66,11
67,34
68,40
69,30
70,22
71,39
72,33
73,29
74,21
75,23
76,11
77,34
78,40
79,30
80,22
81,39
82,33
83,29
84,21
85,23
86,11
87,34
88,40
89,30
90,22
91,39
92,33
93,29
94,21
95,23
96,11
97,34
98,40
99,30
100,22
101,39
102,33
103,29
104,21
105,23
106,11
107,34
108,40
109,30
110,22
111,39
112,33
113,29
114,21
115,23
116,11
117,34
118,40
119,30
120,22
121,39
122,33
123,29
124,21
125,23
126,11
127,34
128,40
129,30
130,22
131,39
132,33
133,29
134,21
135,23
136,11
137,34
138,40
139,30
140,22
141,39
142,33
143,29
144,21
145,23
146,11
147,34
148,40
149,30
150,22
151,39
152,33
153,29
154,21
155,23
156,11
157,34
158,40
159,30
160,22
161,39
162,33
163,29
164,21
165,23
166,11
167,34
168,40
169,30
170,22
171,39
172,33
173,29
174,21
175,23
176,11
177,34
178,40
179,30
180,22
181,39
182,33
183,29
184,21
185,23
186,11
187,34
188,40
189,30
190,22
191,39
192,33
193,29
194,21
195,23
196,11
197,34
198,40
199,30
200,22
201,39
202,33
203,29
204,21
205,23
206,11
207,34
208,40
209,30
210,22
211,39
212,33
213,29
214,21
215,23
216,11
217,34
218,40
219,30
220,22
221,39
222,33
223,29
224,21
225,23
226,11
227,34
228,40
229,30
230,22
231,39
232,33
233,29
234,21
235,23
236,11
237,34
238,40
239,30
240,22
241,39
242,33
243,29
244,21
245,23
246,11
247,34
248,40
249,30
250,22
251,39
252,33
253,29
254,21
255,23
256,11
257,34
258,40
259,30
260,28
261,23
262,19
263,17
264,7
265,10
266,7
267,16
268,17
269,18
270,28
271,23
272,19
273,17
274,7
275,10
276,7
277,16
278,17
279,18
280,28
281,23
282,19
283,17
284,7
285,10
286,7
287,16
288,17
289,18
290,28
291,23
292,19
293,17
294,7
295,10
296,7
297,16
298,17
299,18
300,28
301,23
302,19
303,17
304,7
305,10
306,7
307,16
308,17
309,18
310,28
311,23
312,19
313,17
314,7
315,10
316,7
317,16
318,17
319,18
320,28
321,23
322,19
323,17
324,7
325,10
326,7
327,16
328,17
329,18
330,28
331,23
332,19
333,17
334,7
335,10
336,7
337,16
338,17
339,18
340,28
341,23
342,19
343,17
344,7
345,10
346,7
347,16
348,17
349,18
350,28
351,23
352,19
353,17
354,7
355,10
356,7
357,16
358,17
359,18
360,28
361,23
362,19
363,17
364,7
365,10
366,7
367,16
368,17
369,18
370,28
371,23
372,19
373,17
374,7
375,10
376,7
377,16
378,17
379,18
380,28
381,23
382,19
383,17
384,7
385,10
386,7
387,16
388,17
389,18
390,28
391,23
392,19
393,17
394,7
395,10
396,7
397,16
398,17
399,18
400,28
401,23
402,19
403,17
404,7
405,10
406,7
407,16
408,17
409,18
410,28
411,23
412,19
413,17
414,7
415,10
416,7
417,16
418,17
419,18
420,28
421,23
422,19
423,17
424,7
425,10
426,7
427,16
428,17
429,18
430,28
431,23
432,19
433,17
434,7
435,10
436,7
437,16
438,17
439,18
440,28
441,23
442,19
443,17
444,7
445,10
446,7
447,16
448,17
449,18
450,28
451,23
452,19
453,17
454,7
455,10
456,7
457,16
458,17
459,18
460,28
461,23
462,19
463,17
464,7
465,10
466,7
467,16
468,17
469,18
470,28
471,23
472,19
473,17
474,7
475,10
476,7
477,16
478,17
479,18
480,28
481,23
482,19
483,17
484,7
485,10
486,7
487,16
488,17
489,18
490,28
491,23
492,19
493,17
494,7
495,10
496,7
497,16
498,17
499,18
500,28
501,23
502,19
503,17
504,7
505,10
506,7
507,16
508,17
509,18
510,28
511,23
512,19
513,17
514,7
515,10
516,7
517,16
518,17
519,18
520,34
521,47
522,45
523,33
524,40
525,32
526,21
527,40
528,43
529,48
530,34
531,47
532,45
533,33
534,40
535,32
536,21
537,40
538,43
539,48
540,34
541,47
542,45
543,33
544,40
545,32
546,21
547,40
548,43
549,48
550,34
551,47
552,45
553,33
554,40
555,32
556,21
557,40
558,43
559,48
560,34
561,47
562,45
563,33
564,40
565,32
566,21
567,40
568,43
569,48
570,34
571,47
572,45
573,33
574,40
575,32
576,21
577,40
578,43
579,48
580,34
581,47
582,45
583,33
584,40
585,32
586,21
587,40
588,43
589,48
590,34
591,47
592,45
593,33
594,40
595,32
596,21
597,40
598,43
599,48
600,34
601,47
602,45
603,33
604,40
605,32
606,21
607,40
608,43
609,48
610,34
611,47
612,45
613,33
614,40
615,32
616,21
617,40
618,43
619,48
620,34
621,47
622,45
623,33
624,40
625,32
626,21
627,40
628,43
629,48
630,34
631,47
632,45
633,33
634,40
635,32
636,21
637,40
638,43
639,48
640,34
641,47
642,45
643,33
644,40
645,32
646,21
647,40
648,43
649,48
650,34
651,47
652,45
653,33
654,40
655,32
656,21
657,40
658,43
659,48
660,34
661,47
662,45
663,33
664,40
665,32
666,21
667,40
668,43
669,48
670,34
671,47
672,45
673,33
674,40
675,32
676,21
677,40
678,43
679,48
680,34
681,47
682,45
683,33
684,40
685,32
686,21
687,40
688,43
689,48
690,34
691,47
692,45
693,33
694,40
695,32
696,21
697,40
698,43
699,48
700,34
701,47
702,45
703,33
704,40
705,32
706,21
707,40
708,43
709,48
710,34
711,47
712,45
713,33
714,40
715,32
716,21
717,40
718,43
719,48
720,34
721,47
722,45
723,33
724,40
725,32
726,21
727,40
728,43
729,48
730,34
731,47
732,45
733,33
734,40
735,32
736,21
737,40
738,43
739,48
740,34
741,47
742,45
743,33
744,40
745,32
746,21
747,40
748,43
749,48
750,34
751,47
752,45
753,33
754,40
755,32
756,21
757,40
758,43
759,48
760,34
761,47
762,45
763,33
764,40
765,32
766,21
767,40
768,43
769,48
770,34
771,47
772,45
773,33
774,40
775,32
776,21
777,40
778,43
779,48
780,12
781,16
782,21
783,16
784,7
785,4
786,8
787,14
788,18
789,13
790,12
791,16
792,21
793,16
794,7
795,4
796,8
797,14
798,18
799,13
800,12
801,16
802,21
803,16
804,7
805,4
806,8
807,14
808,18
809,13
810,12
811,16
812,21
813,16
814,7
815,4
816,8
817,14
818,18
819,13
820,12
821,16
822,21
823,16
824,7
825,4
826,8
827,14
828,18
829,13
830,12
831,16
832,21
833,16
834,7
835,4
836,8
837,14
838,18
839,13
840,12
841,16
842,21
843,16
844,7
845,4
846,8
847,14
848,18
849,13
850,12
851,16
852,21
853,16
854,7
855,4
856,8
857,14
858,18
859,13
860,12
861,16
862,21
863,16
864,7
865,4
866,8
867,14
868,18
869,13
870,12
871,16
872,21
873,16
874,7
875,4
876,8
877,14
878,18
879,13
880,12
881,16
882,21
883,16
884,7
885,4
886,8
887,14
888,18
889,13
890,12
891,16
892,21
893,16
894,7
895,4
896,8
897,14
898,18
899,13
900,12
901,16
902,21
903,16
904,7
905,4
906,8
907,14
908,18
909,13
910,12
911,16
912,21
913,16
914,7
915,4
916,8
917,14
918,18
919,13
920,12
921,16
922,21
923,16
924,7
925,4
926,8
927,14
928,18
929,13
930,12
931,16
932,21
933,16
934,7
935,4
936,8
937,14
938,18
939,13
940,12
941,16
942,21
943,16
944,7
945,4
946,8
947,14
948,18
949,13
950,12
951,16
952,21
953,16
954,7
955,4
956,8
957,14
958,18
959,13
960,12
961,16
962,21
963,16
964,7
965,4
966,8
967,14
968,18
969,13
970,12
971,16
972,21
973,16
974,7
975,4
976,8
977,14
978,18
979,13
980,12
981,16
982,21
983,16
984,7
985,4
986,8
987,14
988,18
989,13
990,12
991,16
992,21
993,16
994,7
995,4
996,8
997,14
998,18
999,13
1000,12
1001,16
1002,21
1003,16
1004,7
1005,4
1006,8
1007,14
1008,18
1009,13
1010,12
1011,16
1012,21
1013,16
1014,7
1015,4
1016,8
1017,14
1018,18
1019,13
